class,YOLO_Val,avg_f1,count
medium gear,11s / 0.15,0.9901500938086304,41
red light,11s / 0.2,1.0,41
pin,11s / 0.2,0.8435101483881973,41
center,11s / 0.2,0.9213177066835604,41
small gear,11s / 0.2,0.9816220365000852,41
medium gear,11s / 0.2,0.9861058672506228,41
red light,11s / 0.8,0.9355679250273592,41
pin,11s / 0.8,0.8094305073424832,41
center,11s / 0.8,0.6000659185251493,41
small gear,11s / 0.8,0.9315490371271038,41
medium gear,11s / 0.8,0.9512819958133873,41
red light,11s / 0.1,0.9965156794425089,41
pin,11s / 0.1,0.8219512195121954,41
center,11s / 0.1,0.9442508710801394,41
small gear,11s / 0.1,0.9930313588850175,41
medium gear,11s / 0.1,0.9972899728997289,41
motorbike,11m / 0.1,0.9786056459271373,8
car,11m / 0.1,0.9688538990407481,8
truck,11m / 0.1,0.9870856665958084,8
bus,11m / 0.1,0.9853634161045332,8
pedestrian,11m / 0.1,0.9661339403120384,8
motorbike,11n / 0.1,0.9331895781484622,7
car,11n / 0.1,0.9495946646056902,7
truck,11n / 0.1,0.9648342654752448,7
bus,11n / 0.1,0.9668837985344095,7
pedestrian,11n / 0.1,0.8874610068915623,7
motorbike,11s / 0.1,0.9633663817465212,6
car,11s / 0.1,0.9646821630218643,6
truck,11s / 0.1,0.9852004813066696,6
bus,11s / 0.1,0.9811345168274365,6
pedestrian,11s / 0.1,0.944957212430413,6
